year,mon,day,dow,hour,chr,cday,date,datetime
2019,1,5,3,19,116,5,20190105,2019010519
2019,1,5,3,20,117,5,20190105,2019010520
2019,1,5,3,21,118,5,20190105,2019010521
2019,1,5,3,22,119,5,20190105,2019010522
2019,1,5,3,23,120,5,20190105,2019010523
2019,1,6,4,0,121,6,20190106,2019010600
2019,1,6,4,1,122,6,20190106,2019010601
2019,1,6,4,2,123,6,20190106,2019010602
2019,1,6,4,3,124,6,20190106,2019010603
2019,1,6,4,4,125,6,20190106,2019010604
2019,1,6,4,5,126,6,20190106,2019010605
2019,1,6,4,6,127,6,20190106,2019010606
2019,1,6,4,7,128,6,20190106,2019010607
2019,1,6,4,8,129,6,20190106,2019010608
2019,1,6,4,9,130,6,20190106,2019010609
2019,1,6,4,10,131,6,20190106,2019010610
2019,1,6,4,11,132,6,20190106,2019010611
2019,1,6,4,12,133,6,20190106,2019010612
2019,1,6,4,13,134,6,20190106,2019010613
2019,1,6,4,14,135,6,20190106,2019010614
2019,1,6,4,15,136,6,20190106,2019010615
2019,1,6,4,16,137,6,20190106,2019010616
2019,1,6,4,17,138,6,20190106,2019010617
2019,1,6,4,18,139,6,20190106,2019010618
2019,1,6,4,19,140,6,20190106,2019010619
2019,1,6,4,20,141,6,20190106,2019010620
2019,1,6,4,21,142,6,20190106,2019010621
2019,1,6,4,22,143,6,20190106,2019010622
2019,1,6,4,23,144,6,20190106,2019010623
2019,1,7,5,0,145,7,20190107,2019010700
2019,1,7,5,1,146,7,20190107,2019010701
2019,1,7,5,2,147,7,20190107,2019010702
2019,1,7,5,3,148,7,20190107,2019010703
2019,1,7,5,4,149,7,20190107,2019010704
2019,1,7,5,5,150,7,20190107,2019010705
2019,1,7,5,6,151,7,20190107,2019010706
2019,1,7,5,7,152,7,20190107,2019010707
2019,1,7,5,8,153,7,20190107,2019010708
2019,1,7,5,9,154,7,20190107,2019010709
2019,1,7,5,10,155,7,20190107,2019010710
2019,1,7,5,11,156,7,20190107,2019010711
2019,1,7,5,12,157,7,20190107,2019010712
2019,1,7,5,13,158,7,20190107,2019010713
2019,1,7,5,14,159,7,20190107,2019010714
2019,1,7,5,15,160,7,20190107,2019010715
2019,1,7,5,16,161,7,20190107,2019010716
2019,1,7,5,17,162,7,20190107,2019010717
2019,1,7,5,18,163,7,20190107,2019010718
2019,1,7,5,19,164,7,20190107,2019010719
2019,1,7,5,20,165,7,20190107,2019010720
2019,1,7,5,21,166,7,20190107,2019010721
2019,1,7,5,22,167,7,20190107,2019010722
2019,1,7,5,23,168,7,20190107,2019010723
2019,1,8,6,0,169,8,20190108,2019010800
2019,1,8,6,1,170,8,20190108,2019010801
2019,1,8,6,2,171,8,20190108,2019010802
2019,1,8,6,3,172,8,20190108,2019010803
2019,1,8,6,4,173,8,20190108,2019010804
2019,1,8,6,5,174,8,20190108,2019010805
2019,1,8,6,6,175,8,20190108,2019010806
2019,1,8,6,7,176,8,20190108,2019010807
2019,1,8,6,8,177,8,20190108,2019010808
2019,1,8,6,9,178,8,20190108,2019010809
2019,1,8,6,10,179,8,20190108,2019010810
2019,1,8,6,11,180,8,20190108,2019010811
